Busy Baker Data Sheet,,,,,,,,
,,,,,,,,
Default Values,,,,,,,,
Starting Tiles,5,tiles at the start of a level,,,,,,
Tiles per Turn,1.5,tiles added each time the player makes a move; this should take fractional numbers and add the extra tile when needed. So 1.5 would mean alternating between 1 and 2 tiles,,,,,,
Tiles per Customer,1,tiles added when a new customer is added,,,,,,
Starting Coins,500,coins when the game starts,,,,,,
Bread Start Tile,1,"the value of tiles of this type when they first come in. This will be used to test harder levels, and eventually would be controlled by an upgrade system",,,,,,
Cupcake Start Tile,1,same,,,,,,
Donut Start Tile,1,same,,,,,,
Cookie Start Tile,1,same,,,,,,
Cake Start Tile,1,same,,,,,,
Wild Start Tile,1,same,,,,,,
Multiplier Start Tile,1,same,,,,,,
Tip Per Happy,1,amount of coins given for each happiness level over the threshold,,,,,,
Happy Threshold,5,level of happiness that must be exceeded for a tip,,,,,,
Unhappy Limit,3,maximum customers that can leave before level is failed,,,,,,
Coins per Item,1,The number of coins given per item; So 2 cookies pays 2x. This will probably change to it's own table or a formula,,,,,,
,,,,,,,,
Level Structure,,,,,,,,
Day,1,,,,,,,
Cost to Start,20,number of coins it costs to start this day,,,,,,
Day Length,30,number of turns before it's closing time,,,,,,
Day Reward,25,number of coins earned for a successful day,,,,,,
"some values should be able to be added to a level to overide the default, like: Starting Tiles, Tiles per Turn, Tiles per Customer, Coins per Item",,,,,,,,
,,"Valid customer types: Biker, Granny, Hipster, Teenager",,,,,,(only if it deviates)
,,,,"Valid item types: Bread, Cupcake, Donut, Cookie, Cake",,,,
,Turn,Customer Type,Starting Happy,Item 1 Type,Item 1 Amount,Item 2 Type,Item 2 Amount,Tip per Happy
,1,Granny,10,Cake,2,,,
,3,Teenager,10,Cookie,2,,,
,4,Granny,10,Cupcake,3,,,
,7,Biker,10,Cake,5,,,
,9,Teenager,10,Cookie,3,,,
,12,Granny,10,Cupcake,4,,,
,12,Biker,10,Cake,4,,,
,15,Hipster,10,Cupcake,6,,,
,,,,,,,,
,,,,,,,,
Day,2,,,,,,,
Cost to Start,40,number of coins it costs to start this day,,,,,,
Day Length,35,number of turns before it's closing time,,,,,,
Day Reward,50,number of coins earned for a successful day,,,,,,
Tiles per Turn,2,tiles added each time the player makes a move; this should take fractional numbers and add the extra tile when needed. So 1.5 would mean alternating between 1 and 2 tiles,,,,,,
Tiles per Customer,1,tiles added when a new customer is added,,,,,,
"some values should be able to be added to a level to overide the default, like: Starting Tiles, Tiles per Turn, Tiles per Customer, Coins per Item",,,,,,,,
,,"Valid customer types: Biker, Granny, Hipster, Teenager",,,,,,(only if it deviates)
,,,,"Valid item types: Bread, Cupcake, Donut, Cookie, Cake",,,,
,Turn,Customer Type,Starting Happy,Item 1 Type,Item 1 Amount,Item 2 Type,Item 2 Amount,Tip per Happy
,1,Teenager,10,Cookie,2,,,
,2,Hipster,10,Cupcake,3,,,
,4,Granny,10,Cake,4,,,
,8,Biker,10,Donut,5,,,
,10,Biker,10,Cake,3,,,
,13,Biker,10,Donut,3,,,
,16,Granny,10,Cookie,5,,,
,19,Granny,10,Cookie,6,,,
,20,Granny,10,Cookie,4,,,
,21,Granny,10,Cookie,5,,,
,23,Hipster,10,Cookie,5,,,
,25,Biker,10,Cookie,11,,,
,,,,,,,,
,,,,,,,,
Day,3,,,,,,,
Cost to Start,100,number of coins it costs to start this day,,,,,,
Day Length,50,number of turns before it's closing time,,,,,,
Day Reward,120,number of coins earned for a successful day,,,,,,
"some values should be able to be added to a level to overide the default, like: Starting Tiles, Tiles per Turn, Tiles per Customer, Coins per Item",,,,,,,,
,,"Valid customer types: Biker, Granny, Hipster, Teenager",,,,,,(only if it deviates)
,,,,"Valid item types: Bread, Cupcake, Donut, Cookie, Cake",,,,
,Turn,Customer Type,Starting Happy,Item 1 Type,Item 1 Amount,Item 2 Type,Item 2 Amount,Tip per Happy
,1,Hipster,15,Donut,3,,,
,2,Teenager,15,Donut,4,,,
,4,Biker,15,Cookie,3,,,
,8,Granny,15,Cake,6,,,
,10,Biker,15,Cake,4,,,
,12,Hipster,15,Cupcake,3,,,
,13,Biker,15,Donut,3,,,
,16,Granny,15,Cookie,5,,,
,20,Granny,15,Cupcake,2,,,
,23,Hipster,15,Cookie,5,,,
,25,Biker,15,Cake,7,,,
,25,Biker,15,Donut,7,,,
,,,,,,,,
,,,,,,,,
Day,4,,,,,,,
Cost to Start,150,number of coins it costs to start this day,,,,,,
Day Length,45,number of turns before it's closing time,,,,,,
Day Reward,200,number of coins earned for a successful day,,,,,,
"some values should be able to be added to a level to overide the default, like: Starting Tiles, Tiles per Turn, Tiles per Customer, Coins per Item",,,,,,,,
,,"Valid customer types: Biker, Granny, Hipster, Teenager",,,,,,(only if it deviates)
,,,,"Valid item types: Bread, Cupcake, Donut, Cookie, Cake",,,,
,Turn,Customer Type,Starting Happy,Item 1 Type,Item 1 Amount,Item 2 Type,Item 2 Amount,Tip per Happy
,1,Granny,10,Cupcake,3,,,
,2,Teenager,10,Donut,4,,,
,6,Granny,10,Cake,6,,,
,11,Biker,10,Cake,4,,,
,15,Biker,10,Cookie,3,,,
,19,Granny,10,Donut,5,,,
,23,Hipster,10,Donut,6,,,
,26,Hipster,10,Cake,9,,,
,30,Biker,10,Cake,8,,,
,33,Hipster,15,Donut,15,,,
,35,Biker,15,Cake,15,,,
,,,,,,,,
,,,,,,,,
Day,5,,,,,,,
Cost to Start,200,number of coins it costs to start this day,,,,,,
Day Length,50,number of turns before it's closing time,,,,,,
Day Reward,250,number of coins earned for a successful day,,,,,,
"some values should be able to be added to a level to overide the default, like: Starting Tiles, Tiles per Turn, Tiles per Customer, Coins per Item",,,,,,,,
,,"Valid customer types: Biker, Granny, Hipster, Teenager",,,,,,(only if it deviates)
,,,,"Valid item types: Bread, Cupcake, Donut, Cookie, Cake",,,,
,Turn,Customer Type,Starting Happy,Item 1 Type,Item 1 Amount,Item 2 Type,Item 2 Amount,Tip per Happy
,1,Granny,15,Cupcake,3,,,
,2,Teenager,15,Donut,4,,,
,4,Biker,15,Bread,3,,,
,6,Granny,15,Cake,6,,,
,10,Biker,15,Cookie,4,,,
,14,Biker,20,Bread,3,,,
,17,Granny,20,Donut,4,,,
,21,Granny,20,Cupcake,2,,,
,24,Hipster,20,Cake,6,,,
,29,Hipster,20,Cookie,5,,,
,32,Hipster,15,Cupcake,8,,,
,34,Biker,15,Cake,15,,,
,40,Granny,15,Cake,10,,,
,40,Hipster,15,Cake,10,,,
